PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,TotalHouseSF,TotalBathroomCount,QualityOutdoorSF,YearAndRemodAvg,NonHouseSF,HighQualFinSF,HouseLotRatio,FrontageLotRatio,QualityOutdoorLotRatio
528186170,1342,219500,120,RL,48.0,6240,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,GasA,Ex,Y,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,2.0,550.0,TA,TA,Y,0,35,0,0,0,NoFence,2,2008,WD ,Normal,2684.0,2.0,35,2006.5,-3556.0,2684.0,43.01282051282052,0.7692307692307693,0.5608974358974359
923426070,1274,136000,60,RL,63.0,10475,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,Unf,0.0,166.0,624.0,GasA,Gd,Y,SBrkr,624,650,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,NoFireplace,Detchd,1993.0,Unf,2.0,576.0,TA,TA,Y,22,0,0,0,0,GdWo,3,2010,WD ,Normal,1898.0,1.5,22,1991.0,-8577.0,1898.0,18.119331742243435,0.6014319809069213,0.2100238663484487
902204080,861,80000,30,RM,62.0,7404,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,TA,Y,SBrkr,861,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,NoFireplace,Detchd,1920.0,Unf,2.0,288.0,TA,TA,N,0,0,128,0,0,NoFence,11,2009,Oth,Normal,1722.0,1.0,128,1935.0,-5682.0,1722.0,23.25769854132901,0.8373851971907077,1.728795245813074
535105100,1394,159000,20,RL,73.0,9500,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,2.0,514.0,TA,TA,Y,0,76,0,0,185,NoFence,7,2009,WD ,Normal,2788.0,2.5,261,1963.0,-6712.0,2788.0,29.347368421052632,0.7684210526315789,2.7473684210526317
907405020,1536,214000,20,RL,70.0,9135,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,GasA,Ex,Y,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,0,NoFireplace,Attchd,2002.0,RFn,2.0,532.0,TA,TA,Y,192,74,0,0,0,NoFence,12,2008,WD ,Normal,3072.0,3.0,266,2002.5,-6063.0,3072.0,33.62889983579639,0.7662835249042145,2.9118773946360155
531382110,1680,163000,60,RL,50.0,8480,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,Unf,0.0,284.0,886.0,GasA,Ex,Y,SBrkr,886,794,0,0.0,1.0,2,1,3,1,Gd,7,Typ,0,NoFireplace,Attchd,1993.0,RFn,2.0,474.0,TA,TA,Y,144,96,0,0,0,NoFence,10,2008,WD ,Normal,2566.0,3.0,240,1993.5,-5914.0,2566.0,30.259433962264147,0.589622641509434,2.8301886792452833
906380120,1274,203000,20,RL,68.0,8814,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,349.0,1274.0,GasA,Ex,Y,SBrkr,1274,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,0,NoFireplace,Attchd,2005.0,RFn,2.0,508.0,TA,TA,Y,264,98,0,0,0,NoFence,1,2007,New,Partial,2548.0,3.0,362,2006.0,-6266.0,2548.0,28.908554572271388,0.7714998865441344,4.107102337190833
909101060,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,Unf,0.0,823.0,864.0,GasA,TA,N,FuseF,864,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,NoFireplace,NoGarage,0.0,NoGarage,0.0,0.0,NoGarage,NoGarage,N,0,0,100,0,0,NoFence,9,2008,WD ,Normal,1728.0,2.0,100,1932.0,-6520.0,1728.0,20.950533462657614,0.5455868089233754,1.212415130940834
534152050,1610,205000,20,RL,80.0,10603,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,Unf,0.0,410.0,1610.0,GasA,Gd,Y,SBrkr,1610,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977.0,RFn,2.0,480.0,TA,TA,Y,168,68,0,0,0,NoFence,2,2010,WD ,Normal,3220.0,3.0,236,1989.0,-7383.0,3220.0,30.36876355748373,0.754503442421956,2.22578515514477
923252075,1091,131250,80,RL,62.0,7706,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,TA,5,Typ,0,NoFireplace,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,0,0,0,0,NoFence,8,2009,WD ,Normal,1475.0,1.5,280,1994.5,-6231.0,1475.0,19.140929146119905,0.8045678691928367,3.633532312483779
531376060,1486,181000,20,RL,65.0,7441,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,GasA,Ex,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,NoFireplace,Attchd,2006.0,RFn,2.0,566.0,TA,TA,Y,0,32,0,0,0,NoFence,6,2007,WD ,Normal,2947.0,2.0,32,2006.0,-4494.0,2947.0,39.604891815616185,0.8735385028893965,0.43004972449939527
902201120,789,115000,20,RM,50.0,6000,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,NoFireplace,Detchd,1948.0,Unf,1.0,250.0,TA,TA,Y,0,0,0,0,0,NoFence,4,2008,WD ,Partial,1578.0,1.0,0,1949.0,-4422.0,1578.0,26.3,0.8333333333333334,0.0
923228080,1092,98000,160,RM,21.0,1477,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,Unf,0.0,188.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,1,TA,6,Typ,0,NoFireplace,NoGarage,0.0,NoGarage,0.0,0.0,NoGarage,NoGarage,Y,187,0,0,0,0,NoFence,3,2008,WD ,Normal,1638.0,2.5,187,1988.5,161.0,1638.0,110.90047393364928,1.4218009478672986,12.660798916723087
902326030,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1950.0,Unf,4.0,864.0,TA,TA,N,181,0,386,0,0,NoFence,5,2009,WD ,Normal,3880.0,1.5,567,1941.5,-7820.0,3880.0,33.16239316239316,0.5555555555555556,4.846153846153846
527451330,1092,105500,160,RM,21.0,1680,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,NoFireplace,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,NoFence,3,2010,WD ,Normal,1617.0,1.5,0,1971.0,-63.0,1617.0,96.25,1.25,0.0
528218100,1458,168165,60,RL,58.0,13204,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,NoFireplace,BuiltIn,2007.0,Fin,2.0,454.0,TA,TA,Y,100,33,0,0,0,NoFence,5,2007,New,Partial,2066.0,2.0,133,2006.5,-11138.0,2066.0,15.646773704937896,0.4392608300514996,1.007270524083611
916386140,1466,201000,20,RL,73.0,8925,Pave,NoAlley,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,NoFireplace,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,0,NoFence,7,2009,WD ,Normal,2932.0,2.0,118,2007.0,-5993.0,2932.0,32.8515406162465,0.8179271708683473,1.3221288515406162
533221090,1573,177500,160,FV,72.0,2117,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,378.0,756.0,GasA,Ex,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,1,Gd,5,Typ,0,NoFireplace,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,NoFence,6,2010,WD ,Normal,2329.0,2.5,32,2000.0,212.0,2329.0,110.01417099669344,3.401039206424185,1.5115729806329712
534128010,2090,200000,60,RL,80.0,10382,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,NoFence,11,2009,WD ,Normal,3197.0,3.5,667,1973.0,-7185.0,3197.0,30.793681371604702,0.7705644384511654,6.424581005586592
528106110,2046,450000,20,RL,105.0,15431,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,Ex,7,Typ,2,Gd,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,65,0,0,175,NoFence,8,2007,WD ,Normal,4040.0,3.5,428,2005.5,-11391.0,4040.0,26.181064091763336,0.6804484479294927,2.773637482988789
902206260,886,91300,30,RM,50.0,5784,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,Y,FuseA,886,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,NoFireplace,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,144,20,80,0,0,NoFence,12,2009,WD ,Normal,1076.0,1.0,244,1967.0,-4708.0,1076.0,18.6030428769018,0.8644536652835408,4.218533886583679
528222090,1258,173500,20,RL,64.0,7697,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,NoFireplace,Attchd,2007.0,RFn,2.0,462.0,TA,TA,Y,0,0,0,0,0,NoFence,8,2007,New,Partial,2504.0,2.0,0,2007.0,-5193.0,2504.0,32.53215538521502,0.8314927893984669,0.0
528218150,1324,199500,20,RL,100.0,18494,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,NoFireplace,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,0,NoFence,1,2010,WD ,Normal,2648.0,2.0,59,2005.0,-15846.0,2648.0,14.318157240186006,0.5407159078620093,0.3190223856385855
903400180,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1922.0,Unf,2.0,370.0,TA,TA,N,0,0,0,0,220,NoFence,6,2008,WD ,Normal,2681.0,1.5,220,1961.5,-10372.0,2681.0,20.539339615414082,0.49030874128552826,1.6854362981690032
535453210,1269,155000,20,RL,70.0,7931,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,LwQ,532.0,363.0,1269.0,GasA,TA,Y,FuseA,1269,0,0,0.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,Detchd,1964.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,NoFence,6,2008,WD ,Normal,2538.0,1.5,0,1960.0,-5393.0,2538.0,32.00100870003782,0.8826125330979699,0.0
916386010,1346,220000,20,RL,88.0,11896,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,78.0,Unf,0.0,1258.0,1336.0,GasA,Ex,Y,SBrkr,1346,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2008.0,Fin,3.0,660.0,TA,TA,Y,100,48,0,0,0,NoFence,5,2010,WD ,Normal,2682.0,3.0,148,2008.0,-9214.0,2682.0,22.545393409549426,0.7397444519166106,1.2441156691324815
907181090,1749,196000,60,RL,68.0,9272,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,500.0,Unf,0.0,342.0,842.0,GasA,Ex,Y,SBrkr,856,893,0,0.0,0.0,2,1,3,1,Gd,7,Typ,0,NoFireplace,Attchd,1999.0,RFn,2.0,515.0,TA,TA,Y,140,85,0,0,0,NoFence,6,2006,WD ,Normal,2591.0,2.5,225,1999.0,-6681.0,2591.0,27.94434857635893,0.7333908541846419,2.426660914581536
902206020,492,61500,30,RM,52.0,7830,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,Unf,0.0,76.0,492.0,GasA,TA,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,1,TA,3,Typ,0,NoFireplace,Detchd,1921.0,Unf,1.0,200.0,Fa,TA,N,0,0,78,0,0,NoFence,6,2006,WD ,Normal,984.0,2.0,78,1935.5,-6846.0,984.0,12.567049808429118,0.6641123882503193,0.996168582375479
