GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,TotalHouseSF,TotalBathroomCount,QualityOutdoorSF,YearAndRemodAvg,NonHouseSF,HighQualFinSF,HouseLotRatio,FrontageLotRatio,QualityOutdoorLotRatio
1274,136000,60,5,63.0,10475,1,1,3,3,0,4,0,12,2,2,0,5,5,5,1991,1991,1,0,6,6,2,0.0,3,3,2,5,4,2,3,458.0,1,0.0,166.0,624.0,1,4,1,3,624,650,0,0.0,0.0,1,1,3,1,3,6,6,0,1,5,1993.0,1,2.0,576.0,4,4,2,22,0,0,0,0,3,3,2010,9,4,1898.0,1.5,22,1991.0,-8577.0,1898.0,18.119331742243435,0.6014319809069213,0.2100238663484487
861,80000,30,6,62.0,7404,1,1,3,3,0,0,0,18,2,2,0,2,4,6,1920,1950,1,0,8,8,2,0.0,3,3,0,3,4,2,1,0.0,1,0.0,861.0,861.0,1,3,1,3,861,0,0,0.0,0.0,1,0,2,1,3,5,6,0,1,5,1920.0,1,2.0,288.0,4,4,0,0,0,128,0,0,1,11,2009,7,4,1722.0,1.0,128,1935.0,-5682.0,1722.0,23.25769854132901,0.8373851971907077,1.728795245813074
1394,159000,20,5,73.0,9500,1,1,0,3,0,4,0,13,2,2,0,2,6,5,1963,1963,1,0,9,9,1,247.0,3,3,1,5,4,2,1,609.0,1,0.0,785.0,1394.0,1,4,1,3,1394,0,0,1.0,0.0,1,1,3,1,3,6,6,2,5,1,1963.0,2,2.0,514.0,4,4,2,0,76,0,0,185,1,7,2009,9,4,2788.0,2.5,261,1963.0,-6712.0,2788.0,29.347368421052632,0.7684210526315789,2.7473684210526317
1536,214000,20,5,70.0,9135,1,1,3,3,0,4,0,5,2,2,0,2,7,5,2002,2003,1,0,12,13,1,113.0,4,3,2,5,4,4,3,810.0,1,0.0,726.0,1536.0,1,5,1,3,1536,0,0,1.0,0.0,2,0,3,1,4,7,6,0,1,1,2002.0,2,2.0,532.0,4,4,2,192,74,0,0,0,1,12,2008,9,4,3072.0,3.0,266,2002.5,-6063.0,3072.0,33.62889983579639,0.7662835249042145,2.9118773946360155
1680,163000,60,5,50.0,8480,1,1,0,3,0,4,0,21,2,2,0,5,6,5,1993,1994,1,0,6,6,1,120.0,4,3,2,5,4,2,3,602.0,1,0.0,284.0,886.0,1,5,1,3,886,794,0,0.0,1.0,2,1,3,1,4,7,6,0,1,1,1993.0,2,2.0,474.0,4,4,2,144,96,0,0,0,1,10,2008,9,4,2566.0,3.0,240,1993.5,-5914.0,2566.0,30.259433962264147,0.589622641509434,2.8301886792452833
864,67000,30,5,45.0,8248,1,0,3,3,0,4,0,7,2,2,0,2,3,3,1914,1950,1,0,11,12,2,0.0,3,3,0,4,4,2,1,41.0,1,0.0,823.0,864.0,1,3,0,1,864,0,0,1.0,0.0,1,0,2,1,3,5,6,0,1,6,0.0,0,0.0,0.0,1,1,0,0,0,100,0,0,1,9,2008,9,4,1728.0,2.0,100,1932.0,-6520.0,1728.0,20.950533462657614,0.5455868089233754,1.212415130940834
1610,205000,20,5,80.0,10603,1,1,0,3,0,4,0,15,2,2,0,2,6,7,1977,2001,1,0,9,9,1,28.0,3,3,2,4,4,3,2,1200.0,1,0.0,410.0,1610.0,1,4,1,3,1610,0,0,1.0,0.0,2,0,3,1,4,6,6,2,4,1,1977.0,2,2.0,480.0,4,4,2,168,68,0,0,0,1,2,2010,9,4,3220.0,3.0,236,1989.0,-7383.0,3220.0,30.36876355748373,0.754503442421956,2.22578515514477
1091,131250,80,5,62.0,7706,1,1,3,3,0,4,0,12,2,2,0,7,6,5,1993,1996,1,0,6,6,2,0.0,3,4,1,5,4,4,3,114.0,3,270.0,0.0,384.0,1,5,1,3,1091,0,0,0.0,1.0,1,0,2,1,3,5,6,0,1,1,1993.0,3,1.0,429.0,4,4,2,280,0,0,0,0,1,8,2009,9,4,1475.0,1.5,280,1994.5,-6231.0,1475.0,19.140929146119905,0.8045678691928367,3.633532312483779
1486,181000,20,5,65.0,7441,1,1,0,3,0,4,0,21,2,2,0,2,7,5,2006,2006,1,0,12,13,1,170.0,4,3,2,5,4,2,1,0.0,1,0.0,1461.0,1461.0,1,5,1,3,1486,0,0,0.0,0.0,2,0,3,1,4,7,6,0,1,1,2006.0,2,2.0,566.0,4,4,2,0,32,0,0,0,1,6,2007,9,4,2947.0,2.0,32,2006.0,-4494.0,2947.0,39.604891815616185,0.8735385028893965,0.43004972449939527
1092,98000,160,6,21.0,1477,1,1,3,3,0,4,0,11,2,2,3,5,6,9,1970,2007,1,0,5,5,2,0.0,3,4,1,4,4,2,3,358.0,1,0.0,188.0,546.0,1,5,1,3,546,546,0,0.0,0.0,2,1,3,1,3,6,6,0,1,6,0.0,0,0.0,0.0,1,1,2,187,0,0,0,0,1,3,2008,9,4,1638.0,2.5,187,1988.5,161.0,1638.0,110.90047393364928,1.4218009478672986,12.660798916723087
2640,265979,70,6,65.0,11700,1,2,0,3,0,0,0,18,2,2,0,5,7,7,1880,2003,4,0,11,12,2,0.0,4,3,4,4,3,2,1,0.0,1,0.0,1240.0,1240.0,2,3,0,3,1320,1320,0,0.0,0.0,1,1,4,1,4,8,6,1,5,5,1950.0,1,4.0,864.0,4,4,0,181,0,386,0,0,1,5,2009,9,4,3880.0,1.5,567,1941.5,-7820.0,3880.0,33.16239316239316,0.5555555555555556,4.846153846153846
1092,105500,160,6,21.0,1680,1,1,3,3,0,4,0,2,2,2,3,5,5,5,1971,1971,1,0,6,6,1,492.0,3,3,1,4,4,2,3,300.0,1,0.0,225.0,525.0,1,3,1,3,525,567,0,0.0,0.0,1,1,3,1,3,6,6,0,1,5,1997.0,1,1.0,320.0,4,4,2,0,0,0,0,0,1,3,2010,9,4,1617.0,1.5,0,1971.0,-63.0,1617.0,96.25,1.25,0.0
1466,201000,20,5,73.0,8925,1,1,0,1,0,4,0,24,2,2,0,2,8,5,2007,2007,1,0,12,13,2,0.0,4,3,2,5,4,4,3,16.0,1,0.0,1450.0,1466.0,1,5,1,3,1466,0,0,0.0,0.0,2,0,3,1,4,7,6,0,1,1,2007.0,3,3.0,610.0,4,4,2,100,18,0,0,0,1,7,2009,9,4,2932.0,2.0,118,2007.0,-5993.0,2932.0,32.8515406162465,0.8179271708683473,1.3221288515406162
1573,177500,160,2,72.0,2117,1,1,3,3,0,4,0,22,2,2,3,5,6,5,2000,2000,1,0,8,8,1,216.0,4,3,2,5,4,2,3,378.0,1,0.0,378.0,756.0,1,5,1,3,769,804,0,0.0,0.0,2,1,3,1,4,5,6,0,1,5,2000.0,1,2.0,440.0,4,4,2,0,32,0,0,0,1,6,2010,9,4,2329.0,2.5,32,2000.0,212.0,2329.0,110.01417099669344,3.401039206424185,1.5115729806329712
2090,200000,60,5,80.0,10382,1,1,0,3,0,0,0,15,4,2,0,5,7,6,1973,1973,1,0,6,6,3,240.0,3,3,1,5,4,3,2,859.0,1,32.0,216.0,1107.0,1,5,1,3,1107,983,0,1.0,0.0,2,1,3,1,3,7,6,2,4,1,1973.0,2,2.0,484.0,4,4,2,235,204,228,0,0,1,11,2009,9,4,3197.0,3.5,667,1973.0,-7185.0,3197.0,30.793681371604702,0.7705644384511654,6.424581005586592
886,91300,30,6,50.0,5784,1,1,3,3,0,4,0,18,0,2,0,2,5,8,1938,1996,1,0,8,8,2,0.0,3,3,0,3,4,2,1,0.0,1,0.0,190.0,190.0,1,4,1,0,886,0,0,0.0,0.0,1,0,2,1,3,4,6,0,1,1,1938.0,1,1.0,273.0,4,4,2,144,20,80,0,0,1,12,2009,9,4,1076.0,1.0,244,1967.0,-4708.0,1076.0,18.6030428769018,0.8644536652835408,4.218533886583679
1324,199500,20,5,100.0,18494,1,1,0,3,0,0,0,8,2,2,0,2,6,5,2005,2005,1,0,12,13,2,0.0,4,3,2,5,4,2,1,0.0,1,0.0,1324.0,1324.0,1,5,1,3,1324,0,0,0.0,0.0,2,0,3,1,4,6,6,0,1,1,2005.0,3,2.0,430.0,4,4,2,36,23,0,0,0,1,1,2010,9,4,2648.0,2.0,59,2005.0,-15846.0,2648.0,14.318157240186006,0.5407159078620093,0.3190223856385855
1848,207000,50,5,64.0,13053,1,2,3,0,0,4,0,3,2,2,0,0,6,7,1923,2000,2,0,13,14,2,0.0,3,3,0,4,4,2,1,0.0,1,0.0,833.0,833.0,1,4,1,3,1053,795,0,0.0,0.0,1,1,4,1,4,8,6,1,5,5,1922.0,1,2.0,370.0,4,4,0,0,0,0,0,220,1,6,2008,9,4,2681.0,1.5,220,1961.5,-10372.0,2681.0,20.539339615414082,0.49030874128552826,1.6854362981690032
1269,155000,20,5,70.0,7931,1,1,3,3,0,4,0,13,2,2,0,2,5,6,1960,1960,1,0,3,14,2,0.0,3,3,1,4,4,2,1,374.0,2,532.0,363.0,1269.0,1,3,1,0,1269,0,0,0.0,0.0,1,1,3,1,3,6,6,1,3,5,1964.0,1,1.0,308.0,4,4,2,0,0,0,0,0,1,6,2008,9,4,2538.0,1.5,0,1960.0,-5393.0,2538.0,32.00100870003782,0.8826125330979699,0.0
1346,220000,20,5,88.0,11896,1,1,0,3,0,0,0,24,2,2,0,2,7,5,2008,2008,1,0,12,13,3,60.0,4,3,2,5,4,2,3,78.0,1,0.0,1258.0,1336.0,1,5,1,3,1346,0,0,1.0,0.0,2,0,3,1,4,6,6,1,4,1,2008.0,3,3.0,660.0,4,4,2,100,48,0,0,0,1,5,2010,9,4,2682.0,3.0,148,2008.0,-9214.0,2682.0,22.545393409549426,0.7397444519166106,1.2441156691324815
1749,196000,60,5,68.0,9272,1,1,0,3,0,4,0,5,2,2,0,5,7,5,1999,1999,1,0,12,13,2,0.0,4,3,2,5,4,2,3,500.0,1,0.0,342.0,842.0,1,5,1,3,856,893,0,0.0,0.0,2,1,3,1,4,7,6,0,1,1,1999.0,2,2.0,515.0,4,4,2,140,85,0,0,0,1,6,2006,9,4,2591.0,2.5,225,1999.0,-6681.0,2591.0,27.94434857635893,0.7333908541846419,2.426660914581536
492,61500,30,6,52.0,7830,1,1,3,3,0,4,0,18,2,2,0,2,3,5,1921,1950,1,0,0,0,2,0.0,3,3,0,3,4,2,2,416.0,1,0.0,76.0,492.0,1,3,1,3,492,0,0,1.0,0.0,1,0,1,1,3,3,6,0,1,5,1921.0,1,1.0,200.0,3,4,0,0,0,78,0,0,1,6,2006,9,4,984.0,2.0,78,1935.5,-6846.0,984.0,12.567049808429118,0.6641123882503193,0.996168582375479
2030,195000,60,5,80.0,12046,1,1,0,3,0,4,0,15,2,2,0,5,6,6,1976,1976,1,0,9,9,1,298.0,3,3,1,4,4,2,2,156.0,1,0.0,692.0,848.0,1,3,1,3,1118,912,0,0.0,0.0,2,1,4,1,4,8,6,1,4,1,1976.0,3,2.0,551.0,4,4,2,0,224,0,0,0,1,6,2007,9,4,2878.0,2.5,224,1976.0,-9168.0,2878.0,23.891748298190272,0.6641208699983396,1.859538435995351
988,129250,20,5,65.0,7150,1,1,3,3,0,4,0,13,2,2,0,2,5,6,1966,1966,3,0,6,6,1,52.0,3,3,1,4,4,2,1,725.0,1,0.0,263.0,988.0,1,3,1,3,988,0,0,1.0,0.0,1,0,3,1,3,5,6,0,1,5,1974.0,1,1.0,360.0,4,4,2,0,0,0,0,0,1,11,2007,9,4,1976.0,2.0,0,1966.0,-5174.0,1976.0,27.636363636363637,0.9090909090909091,0.0
2172,291000,60,5,89.0,11000,1,1,3,3,0,2,0,16,2,2,0,5,9,5,2000,2000,3,0,12,13,1,295.0,4,3,2,6,4,3,1,0.0,1,0.0,1519.0,1519.0,1,5,1,3,1533,639,0,0.0,0.0,2,1,4,1,5,8,6,1,4,3,2000.0,2,3.0,687.0,4,4,2,162,153,0,0,0,1,6,2008,9,4,3691.0,2.5,315,2000.0,-7309.0,3691.0,33.554545454545455,0.8090909090909091,2.8636363636363638
1080,134000,20,5,71.0,9187,1,1,3,0,0,0,0,12,2,2,0,2,6,5,1983,1983,1,0,12,13,2,0.0,3,4,2,4,4,2,2,336.0,1,0.0,748.0,1084.0,1,3,1,3,1080,0,0,0.0,0.0,1,1,3,1,3,5,6,0,1,1,1983.0,1,2.0,484.0,4,4,2,120,0,158,0,0,1,6,2007,9,4,2164.0,1.5,278,1983.0,-7023.0,2164.0,23.555023402634156,0.7728311744856863,3.026015021225645
1312,186000,20,5,76.0,11355,1,1,0,3,0,0,0,13,2,2,0,2,7,7,1958,2001,1,4,6,6,1,125.0,3,3,1,4,4,2,1,637.0,1,0.0,675.0,1312.0,1,5,1,3,1312,0,0,0.0,0.0,1,1,3,1,3,6,6,1,5,1,1958.0,2,2.0,495.0,4,4,2,0,304,144,0,0,4,4,2008,9,4,2624.0,1.5,448,1979.5,-8731.0,2624.0,23.108762659621313,0.6693086745926904,3.9453985028621754
925,133500,20,5,72.0,8638,1,1,0,3,0,4,0,20,5,2,0,2,5,6,1963,1963,1,0,6,6,2,0.0,3,3,2,4,4,2,2,181.0,1,0.0,744.0,925.0,1,4,1,3,925,0,0,1.0,0.0,1,0,2,1,3,5,6,0,1,5,1990.0,1,2.0,484.0,4,4,2,203,74,0,0,0,1,10,2006,9,4,1850.0,2.0,277,1963.0,-6788.0,1850.0,21.416994674693214,0.8335262792313036,3.206760824264876
1534,148000,70,5,60.0,10800,1,0,3,3,0,4,0,18,2,2,0,5,5,9,1895,1999,1,0,13,6,2,0.0,3,4,1,5,4,4,1,0.0,1,0.0,736.0,736.0,1,5,1,3,751,783,0,0.0,0.0,1,1,3,1,4,6,6,0,1,6,0.0,0,0.0,0.0,1,1,0,0,112,0,0,0,1,7,2007,9,4,2270.0,1.5,112,1947.0,-8530.0,2270.0,21.01851851851852,0.5555555555555556,1.037037037037037
1959,215000,60,5,59.0,11796,1,1,0,3,0,4,0,8,2,2,0,5,7,5,2004,2005,1,0,12,13,2,0.0,4,3,2,5,4,4,1,0.0,1,0.0,847.0,847.0,1,5,1,3,847,1112,0,0.0,0.0,2,1,4,1,4,8,6,1,5,3,2004.0,3,2.0,434.0,4,4,2,100,48,0,0,0,1,7,2007,9,4,2806.0,2.5,148,2004.5,-8990.0,2806.0,23.78772465242455,0.5001695489996609,1.2546625974906749
1716,131000,50,5,60.0,11409,1,1,3,3,0,4,0,7,2,2,0,0,5,4,1949,2008,1,0,13,14,2,0.0,3,3,1,4,4,2,2,292.0,1,0.0,476.0,768.0,1,4,1,3,1148,568,0,0.0,0.0,1,1,3,1,3,8,3,1,5,1,1949.0,1,1.0,281.0,4,4,2,0,0,0,0,160,1,1,2009,9,4,2484.0,1.5,160,1978.5,-8925.0,2484.0,21.772285038127794,0.5259006047856954,1.4024016127618546
936,109500,30,6,56.0,4485,1,0,3,3,0,4,0,18,0,2,0,2,5,7,1920,1950,1,0,13,14,2,0.0,3,3,2,4,4,2,1,579.0,1,0.0,357.0,936.0,1,3,1,3,936,0,0,1.0,0.0,1,0,2,1,3,5,6,1,5,6,0.0,0,0.0,0.0,1,1,1,51,0,135,0,0,4,5,2010,9,4,1872.0,2.0,186,1935.0,-2613.0,1872.0,41.73913043478261,1.2486064659977705,4.147157190635451
1230,110000,50,6,60.0,10440,1,0,3,3,0,0,0,18,2,2,0,5,5,6,1910,1981,1,0,13,14,2,0.0,3,3,2,4,4,2,1,0.0,1,0.0,440.0,440.0,1,4,1,3,682,548,0,0.0,0.0,1,1,2,1,3,5,6,0,1,5,1966.0,1,2.0,440.0,4,4,2,74,0,128,0,0,4,5,2009,9,4,1670.0,1.5,202,1945.5,-8770.0,1670.0,15.996168582375478,0.5747126436781609,1.9348659003831419
1422,179600,20,5,63.0,8500,1,1,3,3,0,2,0,5,2,2,0,2,7,5,2004,2004,1,0,12,13,1,106.0,4,3,2,5,4,4,1,0.0,1,0.0,1422.0,1422.0,1,5,1,3,1422,0,0,0.0,0.0,2,0,3,1,4,7,6,0,1,1,2004.0,2,2.0,626.0,4,4,2,192,60,0,0,0,1,11,2007,9,4,2844.0,2.0,252,2004.0,-5656.0,2844.0,33.45882352941176,0.7411764705882353,2.9647058823529413
1641,140000,50,5,70.0,10759,1,1,3,3,0,0,0,20,1,2,0,0,5,4,1972,1972,1,0,6,6,2,0.0,3,4,1,5,4,2,2,190.0,2,811.0,0.0,1001.0,1,3,1,3,1001,640,0,0.0,0.0,2,0,4,1,3,5,6,1,5,5,1972.0,1,2.0,490.0,4,4,2,0,0,92,0,0,5,7,2008,9,4,2642.0,2.0,92,1972.0,-8117.0,2642.0,24.55618551910029,0.6506180871828237,0.8550980574402826
1248,151500,20,5,80.0,10800,1,1,3,3,0,4,0,13,2,2,0,2,5,7,1960,1960,3,0,13,14,1,88.0,3,3,1,4,4,2,2,632.0,1,0.0,616.0,1248.0,1,5,1,3,1248,0,0,1.0,0.0,1,0,3,1,3,6,6,0,1,1,1960.0,1,1.0,286.0,4,4,2,0,0,0,0,0,4,5,2006,9,4,2496.0,2.0,0,1960.0,-8304.0,2496.0,23.11111111111111,0.7407407407407408,0.0
2418,341000,60,5,96.0,10542,1,1,3,3,0,4,0,16,2,2,0,5,7,5,1993,1994,3,0,13,7,1,651.0,4,3,2,5,4,5,3,1173.0,1,0.0,138.0,1311.0,1,5,1,3,1325,1093,0,1.0,0.0,2,1,3,1,4,9,6,1,4,1,1993.0,2,3.0,983.0,4,4,2,250,154,216,0,0,1,8,2008,9,4,3729.0,3.5,620,1993.5,-6813.0,3729.0,35.37279453614115,0.910643141718839,5.881236956934168
1755,235000,60,5,89.0,11949,1,1,3,3,0,4,0,16,2,2,0,5,7,8,1991,2008,1,0,12,13,1,196.0,4,4,2,5,4,2,3,601.0,2,216.0,158.0,975.0,1,5,1,3,975,780,0,0.0,1.0,2,1,3,1,4,7,6,1,4,1,1991.0,1,2.0,524.0,4,4,2,502,60,0,0,0,5,7,2009,9,4,2730.0,3.0,562,1999.5,-9219.0,2730.0,22.847100175746924,0.7448322035316762,4.703322453761821
672,72000,30,6,61.0,8534,1,1,3,2,0,4,0,10,2,2,0,2,4,4,1925,1950,1,0,13,14,2,0.0,3,3,0,3,4,2,1,0.0,1,0.0,432.0,432.0,1,3,0,0,672,0,0,0.0,0.0,1,0,2,1,3,4,2,0,1,6,0.0,0,0.0,0.0,1,1,0,0,0,112,0,0,3,6,2006,9,4,1104.0,1.0,112,1937.5,-7430.0,1104.0,12.936489336770565,0.7147879071947504,1.3123974689477385
1626,154000,50,5,70.0,10512,1,1,3,3,0,4,0,7,2,2,0,0,6,6,1954,1954,1,0,13,14,2,0.0,3,3,1,4,4,2,1,491.0,1,0.0,497.0,988.0,1,5,1,3,988,638,0,0.0,0.0,1,1,3,1,4,6,6,0,1,1,1954.0,1,1.0,332.0,4,4,2,366,0,0,0,0,1,5,2007,9,4,2614.0,1.5,366,1954.0,-7898.0,2614.0,24.86681887366819,0.6659056316590563,3.4817351598173514
894,128200,20,5,75.0,10650,1,1,3,3,0,0,0,5,2,2,0,2,5,6,1976,1976,1,0,6,6,2,0.0,3,3,1,4,5,4,2,182.0,2,712.0,0.0,894.0,1,3,1,3,894,0,0,1.0,0.0,1,0,3,1,3,5,6,0,1,1,1976.0,1,1.0,308.0,4,4,2,365,0,0,0,0,4,2,2010,9,4,1788.0,2.0,365,1976.0,-8862.0,1788.0,16.788732394366196,0.7042253521126761,3.427230046948357
1174,158000,20,5,70.0,12250,1,1,0,3,0,4,0,5,2,2,0,2,5,6,1978,1978,1,0,6,6,1,180.0,3,3,1,5,4,3,2,781.0,1,0.0,83.0,864.0,1,5,1,3,1174,0,0,1.0,0.0,1,0,3,1,3,5,6,0,1,1,1978.0,1,2.0,528.0,4,4,2,211,0,280,0,0,1,5,2008,9,4,2038.0,2.0,491,1978.0,-10212.0,2038.0,16.63673469387755,0.5714285714285714,4.0081632653061225
1324,254000,120,5,48.0,6240,1,1,3,3,0,4,0,17,2,2,4,2,8,5,2006,2006,3,0,8,8,1,176.0,4,3,2,5,4,2,3,863.0,1,0.0,461.0,1324.0,1,5,1,3,1324,0,0,1.0,0.0,2,0,2,1,4,6,6,1,5,1,2006.0,3,2.0,550.0,4,4,2,192,38,0,0,0,1,12,2009,9,4,2648.0,3.0,230,2006.0,-3592.0,2648.0,42.43589743589744,0.7692307692307693,3.685897435897436
2447,169000,50,5,50.0,9638,1,1,3,3,0,4,0,19,1,2,0,0,6,7,1919,1990,1,0,13,15,2,0.0,3,3,2,4,4,2,1,0.0,1,0.0,804.0,804.0,1,5,1,3,1699,748,0,0.0,0.0,2,0,4,1,4,10,3,1,5,5,1969.0,1,1.0,336.0,4,4,2,272,0,42,0,116,1,3,2010,9,4,3251.0,2.0,430,1954.5,-6387.0,3251.0,33.73106453621083,0.5187798298402159,4.461506536625856
